"state","placefp","cbsa10","stab","placenm","cbsaname10","pop10","afact"
"State code","Place code","CBSA (2010)","State abbreviation","Place name","2010 CBSA name","Population (2010)","placefp to cbsa10 allocation factor"
"01","28768","99999","AL","Gainesville town, AL","99999",208,1 
"01","28816","23460","AL","Gallant CDP, AL","Gadsden, AL Metropolitan Statistical Area",855,1 
"01","28936","99999","AL","Gantt town, AL","99999",222,1 
"01","29032","18980","AL","Garden City town, AL","Cullman, AL Micropolitan Statistical Area",492,1 
"01","29056","13820","AL","Gardendale city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",13893,1 
"01","29296","99999","AL","Gaylesville town, AL","99999",144,1 
"01","29392","99999","AL","Geiger town, AL","99999",170,1 
"01","29464","20020","AL","Geneva city, AL","Dothan, AL Metropolitan Statistical Area",4452,1 
"01","29560","99999","AL","Georgiana town, AL","99999",1738,1 
"01","29608","22840","AL","Geraldine town, AL","Fort Payne, AL Micropolitan Statistical Area",896,1 
"01","29704","99999","AL","Gilbertown town, AL","99999",215,1 
"01","29944","99999","AL","Glen Allen town, AL","99999",510,1 
"01","29992","11500","AL","Glencoe city, AL","Anniston-Oxford, AL Metropolitan Statistical Area",38,0.007 
"01","29992","23460","AL","Glencoe city, AL","Gadsden, AL Metropolitan Statistical Area",5122,0.993 
"01","30160","99999","AL","Glenwood town, AL","99999",187,1 
"01","30448","10760","AL","Goldville town, AL","Alexander City, AL Micropolitan Statistical Area",55,1 
"01","30496","18980","AL","Good Hope town, AL","Cullman, AL Micropolitan Statistical Area",2264,1 
"01","30640","10760","AL","Goodwater town, AL","Alexander City, AL Micropolitan Statistical Area",1475,1 
"01","30736","99999","AL","Gordo town, AL","99999",1750,1 
"01","30760","20020","AL","Gordon town, AL","Dothan, AL Metropolitan Statistical Area",332,1 
"01","30808","33860","AL","Gordonville town, AL","Montgomery, AL Metropolitan Statistical Area",326,1 
"01","30880","45980","AL","Goshen town, AL","Troy, AL Micropolitan Statistical Area",266,1 
"01","31000","99999","AL","Graham CDP, AL","99999",211,1 
"01","31024","33660","AL","Grand Bay CDP, AL","Mobile, AL Metropolitan Statistical Area",3672,1 
"01","31096","10700","AL","Grant town, AL","Albertville, AL Micropolitan Statistical Area",896,1 
